ID Producto **,Nombre Producto *,Costo,Activo,Medida Base
LAC009,LECHE DESLACTOSADA,4626,1,L
LAC014,QUESO COLBY JACK GR,56660,1,kg
LAC017,QUESO GOUDA AMARILLO,130000,1,kg
LAC021,QUESO GRANAPADANO,26180,1,UN
LAC022,QUESO GRAN SPICCO,21896,1,UN
ABA001,ABLANDA CARNE,38000,1,kg
ABA002,ACEITE DE OLIVA,45220,1,L
ABA006,ACEITUNA KALAMATA GR,41930,1,kg
ABA010,AJO EN POLVO,48240,1,kg
ABA011,AJO GRANULADO,49265,1,kg
ABA017,AREPA PICADA (Pequeña Plana),180,1,UN
ABA018,AREPA TELA,620,1,UN
ABA019,AROMATICA,166.6,1,UN
ABA027,AZUCAR MORENA,4510,1,kg
ABA034,CANELA EN ASTILLAS,132216,1,kg
ABA037,CARBON ACTIVADO,253500,1,kg
ABA038,CEBOLLA EN POLVO,63400,1,kg
ABA041,COCO RALLADO,37650,1,kg
ABA042,COCOA,63546,1,kg
ABA044,COLOR,27500,1,kg
ABA051,EMPANADA PAPA Y CARNE,336,1,UN
ABA062,HAMBURGUESA PARRILLADA (ADOBO),33888,1,kg
ABA064,HARINA PAN AMARILLA Y BLANCA,3750,1,kg
ABA070,LIMON DESHIDRATADO,340,1,UN
ABA074,MAICITOS EN LATA,23590,1,kg
ABA030,BOCADILLO,0,1,UN
ABA033,CALDO MAGGI,29210,1,kg
ABA036,CANUTOS,287,1,UN
ABA043,COLMAIZ,7049,1,kg
ABA047,CURRY,60419,1,kg
ABA052,EMPANADA POLLO Y TOCINETA,3033,1,UN
ABA053,ENCENDEDOR RECARGABLE,9690,1,UN
ABA054,FLOR DE JAMAICA,87000,1,kg
ABA056,FRUTOS SECOS,37000,1,kg
ABA059,GOTAS AMARGAS,14512,1,kg
ABA067,HUEVO,490,1,UN
ABA069,LENTEJAS,8660,1,kg
ABA071,LULO DESHIDRATADO,566.6,1,UN
ABA072,LYCHE EN LATA,51220,1,kg
ABA073,MAICENA,5440,1,kg
ABA012,ALBAHACA SECA,0,1,kg
ABA013,ALCAPARRAS,23300,1,kg
ABA014,ALMIDON DE YUCA,14400,1,kg
ABA015,AREPA DE HUEVO Y CARNE,3290,1,UN
ABA020,AROS DE CEBOLLA,472,1,UN
ABA022,ARROZ FEDERAL,6650,1,kg
ABA023,ATUN EN ACEITE,0,1,UN
ABA024,ATUN EN AGUA,3750,1,UN
ABA025,AXION X 235GR,3582,1,UN
ABA028,AZUCAR SOBRES,38,1,UN
ABA029,BBQ PINCHADA,42490,1,kg
ABA031,BOLSA CAFE GRANO X 2000,86400,1,kg
ABA032,CALDO COSTILLA,32700,1,kg
ABA035,CANELA EN POLVO,197530,1,kg
ABA040,CHIPS DE PAPAS 30 GR (SANDUCHE),2119,1,UN
ABA048,DULCE QUEMADO,27590,1,kg
ABA050,EMPANADA PAPA,337,1,UN
ABA055,FRIJOL CARGAMANTO,14820,1,kg
ABA057,GALLETA VOLOVANE,153.636,1,UN
ABA016,AREPA MENU,196,1,UN
ABA021,ARROZ DIANA,6270,1,kg
ABA026,AZUCAR BLANCA,4700,1,kg
ABA039,CHIPS DE NACHOS,17450,1,kg
ABA045,COMINO,64436,1,kg
ABA046,CROISSANT DE BROWNIE,0,1,UN
ABA049,EMPANADA MOMPOSIONA UND,1780,1,UN
ABA058,GALLETAS SALTIN,820,1,UN
ABA060,GRANOLA,26750,1,kg
ABA061,GUASCA,6000,1,kg
ABA063,HARINA DE TRIGO,4046,1,kg
ABA066,HERSHEY'S,2200,1,UN
ABA068,LAUREL,32000,1,kg
ABA078,MANTEQUILLA PERSONAL,0,1,UN
ABA076,MANI SALADO,26.79,1,kg
ABA081,MERMELADA DE JALAPEÑO Y OCHUA,67080,1,kg
ABA083,MEZCLA ITALIANA,211860,1,kg
ABA092,NUEZ MOSCADA,147300,1,kg
ABA093,OREGANO,114600,1,kg
ABA095,PALILLO BAMBU VERDE,121.97,1,UN
ABA096,PAN BAGUETTE (14 TAJADAS),4500,1,UN
ABA102,PANELA,6410,1,kg
ABA105,PANKO BLANCO,11990,1,kg
ABA115,PASTA SOPA,8990,1,kg
ABA119,PEPINILLO ENTERO KOSHER,21690,1,kg
ABA128,PIÑA DESHIDRATADA,145000,1,kg
ABA130,POLVO ROSQUILLERO,11000,1,kg
ABA131,RIPIO DE PAPA,17850,1,kg
ABA134,SAL,2800,1,kg
ABA137,SAL ROSADA,39570,1,kg
ABA077,MANTEQUILLA,48150,1,kg
ABA079,MAYONESA FRUCO,25940,1,kg
ABA080,MAYONESA KRAFT,22358,1,kg
ABA085,MIEL DE AGAVE,38080,1,L
ABA087,MILO,36810,1,kg
ABA097,PAN CAMPESINO (TIPO BAGUETTE),1575,1,UN
ABA101,PAN SOURDOUGH (MASA MADRE 12 TAJADAS),916.66,1,UN
ABA103,PANELA PULV SACHET,0,1,UN
ABA104,PANELITA COPELIA,602.27,1,UN
ABA107,PAPA FRANCESA 2.270GR,18190,1,kg
ABA111,PASTA DE TOMATE,25040,1,kg
ABA114,PASTA PENNE,11600,1,kg
ABA116,PASTA SPAGUETTI,22400,1,kg
ABA117,PASTEL DE POLLO,4580,1,UN
ABA118,PELATI LATA (TOMATES PELADOS ),12000,1,kg
ABA125,PIMIENTA ROJA,32142,1,kg
ABA126,PIMIENTA ROJA CAYENA,54010,1,kg
ABA127,PIMIENTA VERDE GRANO,41040,1,kg
ABA132,ROMERO,11500,1,kg
ABA136,SAL NITRAL,6477,1,kg
ABA075,MAIZ CANCHA,48500,1,kg
ABA082,MERMELADA MORA,27100,1,kg
ABA084,MIEL DE ABEJA,35010,1,L
ABA086,MIGA DE PAN,10090,1,kg
ABA094,P24 (HUMO LIQUIDO),38670,1,kg
ABA098,PAN DANES,2000,1,UN
ABA100,PAN MOLDE (MIEL 22 TAJADAS),704.54,1,UN
ABA106,PAPA CASCO 1000GR,16240,1,kg
ABA108,PAPEL FALSH,7000,1,UN
ABA109,PAPEL HIGIENICO,0,1,UN
ABA110,PAPRIKA,66000,1,kg
ABA112,PASTA FETUCCINI,11990,1,kg
ABA122,PIMIENTA MEZCLA GRANO,0,1,kg
ABA123,PIMIENTA MOLIDA,126300,1,kg
ABA129,POLVO PARA HORNEAR,17333,1,kg
ABA133,SABOR JAMON CALIFORNEANO,11134,1,kg
ABA135,SAL MARINA / PARRILLA,5000,1,kg
ABA138,SALCHICHA ZENU ENLATADA,3600,1,UN
ABA088,MOSTAZA,21920,1,kg
ABA089,NARANJA DESHIDRATADA,145000,1,kg
ABA090,NATILLA,6400,1,kg
ABA091,NESCAFE GRANULADO,99800,1,kg
ABA099,PAN DE HAMBURGUESA,1305,1,UN
ABA113,PASTA LASAGNA,19600,1,kg
ABA120,PEREJIL MOLIDO SECO,47800,1,kg
ABA121,PIMIENTA BLANCA GRANO,0,1,kg
ABA124,PIMIENTA NEGRA GRANO,75000,1,kg
ABA140,SALMUERA PARA TOCINETA,16660,1,kg
ABA141,SALSA BBQ,20860,1,kg
ABA142,SALSA CHIPOTLE,1810,1,kg
ABA150,TABASCO,261516,1,L
ABA155,TRIGISAR,4900,1,kg
ABA158,VINO SEGU OLLE BLANCO,26143,1,L
FRU006,PAPA NEVADA,3800,1,kg
FRU022,AGUACATE,12000,1,kg
FRU023,AHUYAMA,1450,1,kg
FRU029,AJO,21000,1,kg
FRU040,FRESA,16000,1,kg
ABA139,SALEROS,0,1,UN
ABA148,SIROPE CHOCOLATE,27900,1,L
ABA154,TORTILLA,1235,1,UN
FRU001,COCO,10500,1,kg
FRU004,PAPA CRIOLLA,4800,1,kg
FRU005,PAPA CAPIRA,2000,1,kg
FRU007,CEREZAS,28030,1,kg
FRU009,PULPA LULO,1530,1,UN
FRU011,PULPA LIMONADA COCO,3621,1,UN
FRU012,PULPA MANDARINA,1915,1,UN
FRU014,PULPA MARACUYA,2475,1,UN
FRU016,PORTOBELLO,34000,1,kg
FRU018,PLATANO MADURO,3000,1,kg
FRU021,MARACUYA,5500,1,kg
FRU025,JALAPEÑO,11000,1,kg
FRU027,AJI DULCE,8000,1,kg
FRU031,BANANO,280,1,UN
FRU033,CARAMBOLO,14000,1,kg
FRU042,HIGO,11000,1,kg
ABA143,SALSA DE TOMATE EN SOBRE,168,1,UN
